iso3,year,instrument_class,bucket,gross_nominal_lcu_mn,gross_cash_lcu_mn,n_operations,weighted_residual_years_at_issue,run_id,source_id,snapshot_sha256,quality_grade,notes
DEU,1999,bill,0-1,20000.0,19528.0471,4,0.5037645448323066,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,1999,fixed_bullet,1-2,21000.0,17256.328820000002,5,1.9934161207261825,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,1999,fixed_bullet,3-5,13000.0,10152.923780000001,3,4.733744010951403,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,1999,fixed_bullet,5-7,10000.0,7864.37926,2,5.017111567419575,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,1999,fixed_bullet,7-10,34000.0,27841.510674999998,6,9.964891089906189,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,1999,fixed_bullet,10-15,22000.0,17388.406430000003,5,10.187293883392448,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,1999,fixed_bullet,20-30,5987.08,4462.3796,2,29.459286285996903,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2000,bill,0-1,20000.0,19256.01534,4,0.5085557837097878,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2000,fixed_bullet,1-2,24000.0,19660.54348,5,1.99543691535478,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2000,fixed_bullet,3-5,10000.0,6909.62,3,4.784941820670774,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2000,fixed_bullet,5-7,18000.0,14634.304799999998,3,5.007529089664613,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2000,fixed_bullet,7-10,21000.0,13924.4341,3,9.978553502167465,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2000,fixed_bullet,10-15,23000.0,18797.02573,3,10.159450049102759,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2000,fixed_bullet,20-30,9000.0,2568.5402000000004,3,29.79420488250057,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2000,fixed_bullet,30+,5000.0,3936.7764,1,30.193018480492814,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2001,bill,0-1,33000.0,30813.464170000003,4,0.5095721071080415,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2001,fixed_bullet,1-2,40000.0,32822.37062,4,1.998631074606434,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2001,fixed_bullet,3-5,21000.0,16367.992999999999,3,4.8350444900752905,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2001,fixed_bullet,5-7,7000.0,5649.576,1,5.007529089664613,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2001,fixed_bullet,7-10,16000.0,12337.6088,2,9.893223819301848,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2001,fixed_bullet,10-15,16000.0,11990.1027,2,10.057494866529774,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2001,fixed_bullet,20-30,6000.0,4496.6438,2,29.914214008669862,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2002,bill,0-1,50000.0,47792.87947,10,0.5037645448323067,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2002,fixed_bullet,1-2,45000.0,37599.026,7,1.981595558597612,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2002,fixed_bullet,3-5,28000.0,22590.047775,3,4.833675564681725,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2002,fixed_bullet,5-7,10000.0,8567.6886,1,5.007529089664613,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2002,fixed_bullet,7-10,32000.0,27651.398479999996,4,9.778918548939084,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2002,fixed_bullet,10-15,20000.0,17511.47225,2,10.004106776180699,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2002,fixed_bullet,20-30,6000.0,4154.409,2,28.89892767510837,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2003,bill,0-1,66000.0,59025.0688,12,0.5104432414494017,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2003,fixed_bullet,1-2,41000.0,36272.63563,7,1.9420710839551927,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2003,fixed_bullet,2-3,7000.0,6188.7001,1,2.0177960301163584,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2003,fixed_bullet,3-5,28000.0,20611.778225000002,4,4.897330595482546,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2003,fixed_bullet,5-7,14000.0,12957.34185,2,5.017111567419575,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2003,fixed_bullet,7-10,38000.0,30759.04956,6,9.841997190100509,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2003,fixed_bullet,10-15,16000.0,13662.3963,2,10.095824777549623,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2003,fixed_bullet,30+,10000.0,8666.779680000001,2,31.236139630390145,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2004,bill,0-1,72000.0,58231.274915,12,0.5037645448323067,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2004,fixed_bullet,1-2,52000.0,47147.91689,7,1.9569841520560207,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2004,fixed_bullet,2-3,7000.0,6687.03824,1,2.0177960301163584,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2004,fixed_bullet,3-5,10000.0,9119.866525000001,2,4.911704312114989,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2004,fixed_bullet,5-7,26000.0,22989.921000000002,4,5.114410572316117,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2004,fixed_bullet,7-10,32000.0,26730.0314,4,9.933692676249144,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2004,fixed_bullet,10-15,17000.0,14096.23024,2,10.107984056045415,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2004,fixed_bullet,20-30,5000.0,4439.0631,1,29.95208761122519,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2004,fixed_bullet,30+,5000.0,4429.4912,1,30.431211498973305,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2005,bill,0-1,72000.0,59461.848687699996,12,0.5053616244581337,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2005,fixed_bullet,0-1,948.27643223,,6,0.5130900925064954,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2005,fixed_bullet,1-2,49411.24356285,42400.018076,9,1.9525621083085987,20260910T001818Z,ggfiscal.debt.maturity,,A,
DEU,2005,fixed_bullet,2-3,8322.48712775,6949.653149999999,3,2.0282988090086698,20260910T001818Z,ggfiscal.debt.maturity,,A,
